見地,けんち
現地,げんち
原油,げんゆ
権力,けんりょく
故～,こ～
語彙,ごい
甲,こう
～光,～こう
好意,こうい
行為,こうい
合意,ごうい
抗議,こうぎ
合議,ごうぎ
好況,こうきょう
鉱業,こうぎょう
興業,こうぎょう
交互,こうご
煌々と,こうこうと
考古学,こうこがく
講習,こうしゅう
口述,こうじゅつ
交渉,こうしょう
高尚,こうしょう
向上,こうじょう
好調,こうちょう
購入,こうにゅう
光熱費,こうねつひ
好評,こうひょう
交付,こうふ
公募,こうぼ
巧妙,こうみょう
小売,こうり
護衛,ごえい
小柄,こがら
語源,ごげん
心地,ここち
心掛け,こころがけ
志,こころざし
志す,こころざす
試みる,こころみる
快い,こころよい
誤差,ごさ
孤児,こじ
梢,こずえ
個性,こせい
戸籍,こせき
古代,こだい
こたつ,こたつ
固定,こてい
孤独,こどく
ことごとく,ことごとく
殊に,ことに
好ましい,このましい
碁盤,ごばん
個別,こべつ
込める,こめる
籠もる,こもる
固有,こゆう
暦,こよみ
凝らす,こらす
孤立,こりつ
懲りる,こりる
凝る,こる
根気,こんき
昆虫,こんちゅう
財,ざい
細工,さいく
在庫,ざいこ
サイズ,サイズ
冴える,さえる
竿,さお
差額,さがく
詐欺,さぎ
錯誤,さくご
叫び,さけび
差し掛かる,さしかかる
指図,さしず
摩する,さする
座談会,ざだんかい
雑,ざつ
雑貨,ざっか
さっと,さっと
悟る,さとる
最中,さなか
さほど,さほど
サボる,サボる
様,さま
寒気,さむけ
さも,さも
作用,さよう
障る,さわる
酸,さん
参議院,さんぎいん
産休,さんきゅう
サンキュー,サンキュー
産後,さんご
産出,さんしゅつ
参照,さんしょう
参上,さんじょう
賛美,さんび
山脈,さんみゃく
仕上,しあげ
飼育,しいく
強いて,しいて
シート,シート
強いる,しいる
潮,しお
歯科,しか
自我,じが
自覚,じかく
仕掛,しかけ
式場,しきじょう
経路,けいろ
ゲスト,ゲスト
決,けつ
決意,けつい
決議,けつぎ
決勝,けっしょう
結晶,けっしょう
月賦,げっぷ
けなす,けなす
煙る,けむる
獣,けもの
家来,けらい
下痢,げり
権威,けんい
兼業,けんぎょう
検事,けんじ
原子,げんし
懸賞,けんしょう
元素,げんそ
同調,どうちょう
投入,とうにゅう
導入,どうにゅう
動力,どうりょく
遠ざかる,とおざかる
遠回り,とおまわり
トーン,トーン
とかく,とかく
研ぐ,とぐ
特技,とくぎ
独自,どくじ
特集,とくしゅう
特派,とくは
遂げる,とげる
～どころか,～どころか
土台,どだい
とって,とって
突破,とっぱ
土手,どて
届,とどけ
滞る,とどこおる
整える,ととのえる
扉,とびら
溝,どぶ
徒歩,とほ
土木,どぼく
富,とみ
富む,とむ
共稼ぎ,ともかせぎ
ドライ,ドライ
ドライバー,ドライバー
とりあえず,とりあえず
鳥居,とりい
取締り,とりしまり
取り締まる,とりしまる
取り立てる,とりたてる
取り付ける,とりつける
取り除く,とりのぞく
取り混ぜる,とりまぜる
取り戻す,とりもどす
取り寄せる,とりよせる
ドリル,ドリル
とんだ,とんだ
問屋,とんや
乃至,ないし
内部,ないぶ
苗,なえ
流し,ながし
渚,なぎさ
嘆く,なげく
名残,なごり
情け,なさけ
情無い,なさけない
詰る,なじる
雪崩,なだれ
懐く,なつく
何気ない,なにげない
名札,なふだ
生臭い,なまぐさい
生温い,なまぬるい
生身,なまみ
鉛,なまり
嘗める,なめる
悩ましい,なやましい
悩み,なやみ
慣れ,なれ
ナンセンス,ナンセンス
にきび,にきび
西日,にしび
滲む,にじむ
日夜,にちや
担う,になう
鈍る,にぶる
ニュアンス,ニュアンス
ニュー,ニュー
入手,にゅうしゅ
入浴,にゅうよく
尿,にょう
任務,にんむ
抜かす,ぬかす
主,ぬし
沼,ぬま
音色,ねいろ
値打ち,ねうち
ネガ,ネガ
ねじまわし,ねじまわし
妬む,ねたむ
ねだる,ねだる
熱意,ねつい
熱量,ねつりょう
粘り,ねばり
粘る,ねばる
値引き,ねびき
練る,ねる
念,ねん
年賀,ねんが
燃焼,ねんしょう
年長,ねんちょう
燃料,ねんりょう
ノイローゼ,ノイローゼ
農場,のうじょう
農地,のうち
納入,のうにゅう
逃す,のがす
望ましい,のぞましい
のどか,のどか
延べ,のべ
～派,～は
バー,バー
把握,はあく
パート,パート
廃棄,はいき
配給,はいきゅう
背後,はいご
廃止,はいし
拝借,はいしゃく
賠償,ばいしょう
配置,はいち
配布,はいふ
破壊,はかい
一概に,いちがいに
一部分,いちぶぶん
